GV-Domain +/- 0.5;Counts
0.5;154588
1.5;6586
2.5;5039
3.5;5150
4.5;8029
5.5;5707
6.5;2984
7.5;2096
8.5;1815
9.5;1520
10.5;1145
11.5;687
12.5;531
13.5;393
14.5;302
15.5;342
16.5;355
17.5;306
18.5;305
19.5;267
20.5;325
21.5;352
22.5;404
23.5;394
24.5;293
25.5;352
26.5;376
27.5;332
28.5;280
29.5;249
30.5;247
31.5;216
32.5;267
33.5;226
34.5;225
35.5;196
36.5;219
37.5;253
38.5;241
39.5;247
40.5;253
41.5;220
42.5;216
43.5;223
44.5;246
45.5;241
46.5;260
47.5;282
48.5;240
49.5;303
50.5;279
51.5;324
52.5;282
53.5;317
54.5;286
55.5;316
56.5;358
57.5;403
58.5;432
59.5;481
60.5;518
61.5;556
62.5;651
63.5;712
64.5;792
65.5;853
66.5;1029
67.5;1137
68.5;1384
69.5;2135
70.5;7251
71.5;21818
72.5;27231
73.5;18777
74.5;14857
75.5;14762
76.5;14793
77.5;15819
78.5;16395
79.5;18121
80.5;20899
81.5;25239
82.5;35176
83.5;52125
84.5;80386
85.5;74134
86.5;26436
87.5;6085
88.5;2584
89.5;1825
90.5;1528
91.5;1497
92.5;1513
93.5;1628
94.5;1638
95.5;1968
96.5;2685
97.5;3338
98.5;3682
99.5;4177
100.5;4676
101.5;4491
102.5;3563
103.5;2925
104.5;2335
105.5;2071
106.5;1788
107.5;1718
108.5;1463
109.5;1297
110.5;1197
111.5;1117
112.5;1053
113.5;931
114.5;885
115.5;711
116.5;630
117.5;651
118.5;596
119.5;530
120.5;514
121.5;478
122.5;449
123.5;399
124.5;374
125.5;432
126.5;368
127.5;357
128.5;336
129.5;324
130.5;296
131.5;306
132.5;303
133.5;266
134.5;266
135.5;245
136.5;241
137.5;253
138.5;249
139.5;228
140.5;189
141.5;180
142.5;204
143.5;166
144.5;175
145.5;168
146.5;167
147.5;166
148.5;160
149.5;133
150.5;116
151.5;120
152.5;100
153.5;81
154.5;84
155.5;83
156.5;84
157.5;77
158.5;75
159.5;86
160.5;74
161.5;71
162.5;41
163.5;29
164.5;13
165.5;4
166.5;0
167.5;0
168.5;0
169.5;0
170.5;0
171.5;0
172.5;0
173.5;0
174.5;0
175.5;0
176.5;0
177.5;0
178.5;0
179.5;0
180.5;0
181.5;0
182.5;0
183.5;0
184.5;0
185.5;0
186.5;0
187.5;0
188.5;0
189.5;0
190.5;0
191.5;0
192.5;0
193.5;0
194.5;0
195.5;0
196.5;0
197.5;0
198.5;0
199.5;0
200.5;0
201.5;0
202.5;0
203.5;0
204.5;0
205.5;0
206.5;0
207.5;0
208.5;0
209.5;0
210.5;0
211.5;0
212.5;0
213.5;0
214.5;0
215.5;0
216.5;0
217.5;0
218.5;0
219.5;0
220.5;0
221.5;0
222.5;0
223.5;0
224.5;0
225.5;0
226.5;0
227.5;0
228.5;0
229.5;0
230.5;0
231.5;0
232.5;0
233.5;0
234.5;0
235.5;0
236.5;0
237.5;0
238.5;0
239.5;0
240.5;0
241.5;3
242.5;1
243.5;5
244.5;8
245.5;11
246.5;44
247.5;45
248.5;90
249.5;123
250.5;176
251.5;254
252.5;303
253.5;413
254.5;484
