Er;Erx;Ery;Jr;Jrc;Jrcx;Jrcy;Jrx;Jry;V;X;Y;gamma;pj;t;
233.551;-233.551;0.149165;23.3551;23.3551;-23.3551;0.0149165;-23.3551;0.0149165;-0.175547;-0.001;0;0.1;5454.6;0;
228.132;-228.131;-0.375056;22.8132;22.8132;-22.8131;-0.0375056;-22.8131;-0.0375056;-0.174622;-0.000995992;0;0.1;5204.4;0;
225.15;-225.149;-0.504714;22.515;22.515;-22.5149;-0.0504714;-22.5149;-0.0504714;-0.173712;-0.000991984;0;0.1;5069.25;0;
221.284;-221.282;-0.963708;22.1284;22.1284;-22.1282;-0.0963708;-22.1282;-0.0963708;-0.172818;-0.000987976;0;0.1;4896.67;0;
215.319;-215.31;1.98698;21.5319;21.5319;-21.531;0.198698;-21.531;0.198698;-0.171943;-0.000983968;0;0.1;4636.22;0;
211.637;-211.63;1.79959;21.1637;21.1637;-21.163;0.179959;-21.163;0.179959;-0.171087;-0.00097996;0;0.1;4479.03;0;
207.956;-207.95;1.61221;20.7956;20.7956;-20.795;0.161221;-20.795;0.161221;-0.170246;-0.000975952;0;0.1;4324.57;0;
204.275;-204.27;1.42482;20.4275;20.4275;-20.427;0.142482;-20.427;0.142482;-0.16942;-0.000971944;0;0.1;4172.82;0;
200.594;-200.59;1.23743;20.0594;20.0594;-20.059;0.123743;-20.059;0.123743;-0.168609;-0.000967936;0;0.1;4023.78;0;
196.913;-196.91;1.05004;19.6913;19.6913;-19.691;0.105004;-19.691;0.105004;-0.167812;-0.000963928;0;0.1;3877.46;0;
193.232;-193.23;0.862648;19.3232;19.3232;-19.323;0.0862648;-19.323;0.0862648;-0.16703;-0.00095992;0;0.1;3733.86;0;
189.551;-189.55;0.675259;18.9551;18.9551;-18.955;0.0675259;-18.955;0.0675259;-0.166263;-0.000955912;0;0.1;3592.97;0;
185.871;-185.87;0.48787;18.5871;18.5871;-18.587;0.048787;-18.587;0.048787;-0.165511;-0.000951904;0;0.1;3454.79;0;
182.19;-182.19;0.300481;18.219;18.219;-18.219;0.0300481;-18.219;0.0300481;-0.164773;-0.000947896;0;0.1;3319.33;0;
178.51;-178.51;0.113092;17.851;17.851;-17.851;0.0113092;-17.851;0.0113092;-0.16405;-0.000943888;0;0.1;3186.59;0;
174.83;-174.83;-0.0742975;17.483;17.483;-17.483;-0.00742975;-17.483;-0.00742975;-0.163342;-0.00093988;0;0.1;3056.56;0;
171.151;-171.15;-0.261687;17.1151;17.1151;-17.115;-0.0261687;-17.115;-0.0261687;-0.162649;-0.000935872;0;0.1;2929.25;0;
167.471;-167.47;-0.449076;16.7471;16.7471;-16.747;-0.0449076;-16.747;-0.0449076;-0.16197;-0.000931864;0;0.1;2804.65;0;
163.792;-163.79;-0.636465;16.3792;16.3792;-16.379;-0.0636465;-16.379;-0.0636465;-0.161306;-0.000927856;0;0.1;2682.77;0;
160.113;-160.111;-0.823854;16.0113;16.0113;-16.0111;-0.0823854;-16.0111;-0.0823854;-0.160657;-0.000923848;0;0.1;2563.61;0;
159.254;-159.253;-0.487879;15.9254;15.9254;-15.9253;-0.0487879;-15.9253;-0.0487879;-0.160015;-0.00091984;0;0.1;2536.18;0;
155.051;-155.043;1.57484;15.5051;15.5051;-15.5043;0.157484;-15.5043;0.157484;-0.159383;-0.000915832;0;0.1;2404.08;0;
152.521;-152.514;1.44197;15.2521;15.2521;-15.2514;0.144197;-15.2514;0.144197;-0.158766;-0.000911824;0;0.1;2326.25;0;
149.99;-149.985;1.30909;14.999;14.999;-14.9985;0.130909;-14.9985;0.130909;-0.15816;-0.000907816;0;0.1;2249.71;0;
147.46;-147.455;1.17621;14.746;14.746;-14.7455;0.117621;-14.7455;0.117621;-0.157564;-0.000903808;0;0.1;2174.45;0;
144.93;-144.926;1.04334;14.493;14.493;-14.4926;0.104334;-14.4926;0.104334;-0.156978;-0.0008998;0;0.1;2100.47;0;
142.4;-142.397;0.91046;14.24;14.24;-14.2397;0.091046;-14.2397;0.091046;-0.156402;-0.000895792;0;0.1;2027.77;0;
139.87;-139.868;0.777583;13.987;13.987;-13.9868;0.0777583;-13.9868;0.0777583;-0.155837;-0.000891784;0;0.1;1956.36;0;
137.34;-137.338;0.644707;13.734;13.734;-13.7338;0.0644707;-13.7338;0.0644707;-0.155281;-0.000887776;0;0.1;1886.23;0;
134.81;-134.809;0.51183;13.481;13.481;-13.4809;0.051183;-13.4809;0.051183;-0.154736;-0.000883768;0;0.1;1817.38;0;
132.281;-132.28;0.378953;13.2281;13.2281;-13.228;0.0378953;-13.228;0.0378953;-0.154201;-0.00087976;0;0.1;1749.81;0;
129.751;-129.751;0.246076;12.9751;12.9751;-12.9751;0.0246076;-12.9751;0.0246076;-0.153675;-0.000875752;0;0.1;1683.53;0;
