Er;Erx;Ery;Jr;Jrc;Jrcx;Jrcy;Jrx;Jry;V;X;Y;gamma;pj;t;
5.77073;5.77073;-0.00297201;0.577073;0.577073;0.577073;-0.000297201;0.577073;-0.000297201;0.00294772;-0.001;0;0.1;3.33013;0;
5.66188;5.66188;0.00744309;0.566188;0.566188;0.566188;0.000744309;0.566188;0.000744309;0.00292481;-0.000995992;0;0.1;3.20569;0;
5.60136;5.60135;0.010021;0.560136;0.560136;0.560135;0.0010021;0.560135;0.0010021;0.00290222;-0.000991984;0;0.1;3.13752;0;
5.52334;5.52331;0.0191152;0.552334;0.552334;0.552331;0.00191152;0.552331;0.00191152;0.00287992;-0.000987976;0;0.1;3.05073;0;
5.40376;5.40361;-0.0392366;0.540376;0.540376;0.540361;-0.00392366;0.540361;-0.00392366;0.00285802;-0.000983968;0;0.1;2.92006;0;
5.32937;5.32925;-0.0355375;0.532937;0.532937;0.532925;-0.00355375;0.532925;-0.00355375;0.00283651;-0.00097996;0;0.1;2.84021;0;
5.25498;5.25488;-0.0318385;0.525498;0.525498;0.525488;-0.00318385;0.525488;-0.00318385;0.0028153;-0.000975952;0;0.1;2.76148;0;
5.18059;5.18051;-0.0281394;0.518059;0.518059;0.518051;-0.00281394;0.518051;-0.00281394;0.00279439;-0.000971944;0;0.1;2.68385;0;
5.1062;5.10615;-0.0244403;0.51062;0.51062;0.510615;-0.00244403;0.510615;-0.00244403;0.00277377;-0.000967936;0;0.1;2.60733;0;
5.03182;5.03178;-0.0207412;0.503182;0.503182;0.503178;-0.00207412;0.503178;-0.00207412;0.00275346;-0.000963928;0;0.1;2.53192;0;
4.95744;4.95741;-0.0170421;0.495744;0.495744;0.495741;-0.00170421;0.495741;-0.00170421;0.00273344;-0.00095992;0;0.1;2.45762;0;
4.88306;4.88305;-0.013343;0.488306;0.488306;0.488305;-0.0013343;0.488305;-0.0013343;0.00271372;-0.000955912;0;0.1;2.38443;0;
4.80869;4.80868;-0.00964396;0.480869;0.480869;0.480868;-0.000964396;0.480868;-0.000964396;0.0026943;-0.000951904;0;0.1;2.31235;0;
4.73432;4.73431;-0.00594487;0.473432;0.473432;0.473431;-0.000594487;0.473431;-0.000594487;0.00267517;-0.000947896;0;0.1;2.24137;0;
4.65995;4.65994;-0.00224579;0.465995;0.465995;0.465994;-0.000224579;0.465994;-0.000224579;0.00265635;-0.000943888;0;0.1;2.17151;0;
4.58558;4.58558;0.00145329;0.458558;0.458558;0.458558;0.000145329;0.458558;0.000145329;0.00263782;-0.00093988;0;0.1;2.10275;0;
4.51121;4.51121;0.00515238;0.451121;0.451121;0.451121;0.000515238;0.451121;0.000515238;0.00261959;-0.000935872;0;0.1;2.03511;0;
4.43685;4.43684;0.00885146;0.443685;0.443685;0.443684;0.000885146;0.443684;0.000885146;0.00260166;-0.000931864;0;0.1;1.96857;0;
4.3625;4.36248;0.0125505;0.43625;0.43625;0.436248;0.00125505;0.436248;0.00125505;0.00258402;-0.000927856;0;0.1;1.90314;0;
4.28814;4.28811;0.0162496;0.428814;0.428814;0.428811;0.00162496;0.428811;0.00162496;0.00256669;-0.000923848;0;0.1;1.83882;0;
4.26936;4.26935;0.00961698;0.426936;0.426936;0.426935;0.000961698;0.426935;0.000961698;0.00254949;-0.00091984;0;0.1;1.82275;0;
4.18487;4.18476;-0.0307183;0.418487;0.418487;0.418476;-0.00307183;0.418476;-0.00307183;0.0025325;-0.000915832;0;0.1;1.75132;0;
4.13312;4.13302;-0.0281283;0.413312;0.413312;0.413302;-0.00281283;0.413302;-0.00281283;0.00251583;-0.000911824;0;0.1;1.70827;0;
4.08137;4.08129;-0.0255383;0.408137;0.408137;0.408129;-0.00255383;0.408129;-0.00255383;0.00249937;-0.000907816;0;0.1;1.66576;0;
4.02962;4.02955;-0.0229483;0.402962;0.402962;0.402955;-0.00229483;0.402955;-0.00229483;0.00248312;-0.000903808;0;0.1;1.62378;0;
3.97786;3.97781;-0.0203583;0.397786;0.397786;0.397781;-0.00203583;0.397781;-0.00203583;0.00246707;-0.0008998;0;0.1;1.58234;0;
3.92612;3.92608;-0.0177683;0.392612;0.392612;0.392608;-0.00177683;0.392608;-0.00177683;0.00245123;-0.000895792;0;0.1;1.54144;0;
3.87437;3.87434;-0.0151783;0.387437;0.387437;0.387434;-0.00151783;0.387434;-0.00151783;0.0024356;-0.000891784;0;0.1;1.50107;0;
3.82262;3.8226;-0.0125883;0.382262;0.382262;0.38226;-0.00125883;0.38226;-0.00125883;0.00242017;-0.000887776;0;0.1;1.46124;0;
3.77088;3.77086;-0.00999832;0.377088;0.377088;0.377086;-0.000999832;0.377086;-0.000999832;0.00240496;-0.000883768;0;0.1;1.42195;0;
3.71913;3.71913;-0.00740831;0.371913;0.371913;0.371913;-0.000740831;0.371913;-0.000740831;0.00238995;-0.00087976;0;0.1;1.3832;0;
3.66739;3.66739;-0.00481831;0.366739;0.366739;0.366739;-0.000481831;0.366739;-0.000481831;0.00237514;-0.000875752;0;0.1;1.34498;0;
3.61565;3.61565;-0.00222831;0.361565;0.361565;0.361565;-0.000222831;0.361565;-0.000222831;0.00236055;-0.000871743;0;0.1;1.30729;0;
3.56392;3.56392;0.000361696;0.356392;0.356392;0.356392;3.61696e-05;0.356392;3.61696e-05;0.00234616;-0.000867735;0;0.1;1.27015;0;
3.51218;3.51218;0.0029517;0.351218;0.351218;0.351218;0.00029517;0.351218;0.00029517;0.00233198;-0.000863727;0;0.1;1.23354;0;
3.46045;3.46044;0.0055417;0.346045;0.346045;0.346044;0.00055417;0.346044;0.00055417;0.00231801;-0.000859719;0;0.1;1.19747;0;
3.40871;3.4087;0.00813171;0.340871;0.340871;0.34087;0.000813171;0.34087;0.000813171;0.00230424;-0.000855711;0;0.1;1.16193;0;
3.35698;3.35697;0.0107217;0.335698;0.335698;0.335697;0.00107217;0.335697;0.00107217;0.00229068;-0.000851703;0;0.1;1.12693;0;
3.34045;3.34045;0.00630317;0.334045;0.334045;0.334045;0.000630317;0.334045;0.000630317;0.00227724;-0.000847695;0;0.1;1.11586;0;
3.28128;3.2812;-0.0227974;0.328128;0.328128;0.32812;-0.00227974;0.32812;-0.00227974;0.00226399;-0.000843687;0;0.1;1.07668;0;
3.24358;3.24351;-0.0209043;0.324358;0.324358;0.324351;-0.00209043;0.324351;-0.00209043;0.00225092;-0.000839679;0;0.1;1.05208;0;
3.20588;3.20582;-0.0190112;0.320588;0.320588;0.320582;-0.00190112;0.320582;-0.00190112;0.00223799;-0.000835671;0;0.1;1.02776;0;
3.16817;3.16813;-0.0171181;0.316817;0.316817;0.316813;-0.00171181;0.316813;-0.00171181;0.00222522;-0.000831663;0;0.1;1.00373;0;
3.13047;3.13044;-0.015225;0.313047;0.313047;0.313044;-0.0015225;0.313044;-0.0015225;0.00221259;-0.000827655;0;0.1;0.979987;0;
