Er;Erx;Ery;Jr;Jrc;Jrcx;Jrcy;Jrx;Jry;V;X;Y;gamma;pj;t;
1.10384;-1.10384;-8.65251e-06;0.110384;0.110384;-0.110384;-8.65251e-07;-0.110384;-8.65251e-07;0.00056012;-0.001;0;0.1;0.121846;0;
1.10328;-1.10328;5.13954e-05;0.110328;0.110328;-0.110328;5.13954e-06;-0.110328;5.13954e-06;0.000564543;-0.000995992;0;0.1;0.121722;0;
1.10234;-1.10234;6.43834e-05;0.110234;0.110234;-0.110234;6.43834e-06;-0.110234;6.43834e-06;0.000568963;-0.000991984;0;0.1;0.121515;0;
1.10157;-1.10157;0.000141988;0.110157;0.110157;-0.110157;1.41988e-05;-0.110157;1.41988e-05;0.00057338;-0.000987976;0;0.1;0.121346;0;
1.10122;-1.10122;-0.000467965;0.110122;0.110122;-0.110122;-4.67965e-05;-0.110122;-4.67965e-05;0.000577794;-0.000983968;0;0.1;0.121269;0;
1.10039;-1.10039;-0.000422573;0.110039;0.110039;-0.110039;-4.22573e-05;-0.110039;-4.22573e-05;0.000582206;-0.00097996;0;0.1;0.121086;0;
1.09956;-1.09956;-0.000377181;0.109956;0.109956;-0.109956;-3.77181e-05;-0.109956;-3.77181e-05;0.000586615;-0.000975952;0;0.1;0.120902;0;
1.09872;-1.09872;-0.000331789;0.109872;0.109872;-0.109872;-3.31789e-05;-0.109872;-3.31789e-05;0.00059102;-0.000971944;0;0.1;0.120719;0;
1.09789;-1.09789;-0.000286397;0.109789;0.109789;-0.109789;-2.86397e-05;-0.109789;-2.86397e-05;0.000595423;-0.000967936;0;0.1;0.120536;0;
1.09706;-1.09706;-0.000241005;0.109706;0.109706;-0.109706;-2.41005e-05;-0.109706;-2.41005e-05;0.000599821;-0.000963928;0;0.1;0.120353;0;
1.09622;-1.09622;-0.000195614;0.109622;0.109622;-0.109622;-1.95614e-05;-0.109622;-1.95614e-05;0.000604217;-0.00095992;0;0.1;0.120171;0;
1.09539;-1.09539;-0.000150222;0.109539;0.109539;-0.109539;-1.50222e-05;-0.109539;-1.50222e-05;0.000608609;-0.000955912;0;0.1;0.119988;0;
1.09456;-1.09456;-0.00010483;0.109456;0.109456;-0.109456;-1.0483e-05;-0.109456;-1.0483e-05;0.000612997;-0.000951904;0;0.1;0.119806;0;
1.09373;-1.09373;-5.94381e-05;0.109373;0.109373;-0.109373;-5.94381e-06;-0.109373;-5.94381e-06;0.000617383;-0.000947896;0;0.1;0.119623;0;
1.09289;-1.09289;-1.40463e-05;0.109289;0.109289;-0.109289;-1.40463e-06;-0.109289;-1.40463e-06;0.000621765;-0.000943888;0;0.1;0.119441;0;
1.09206;-1.09206;3.13455e-05;0.109206;0.109206;-0.109206;3.13455e-06;-0.109206;3.13455e-06;0.000626143;-0.00093988;0;0.1;0.119259;0;
1.09123;-1.09123;7.67374e-05;0.109123;0.109123;-0.109123;7.67374e-06;-0.109123;7.67374e-06;0.000630519;-0.000935872;0;0.1;0.119077;0;
1.09039;-1.09039;0.000122129;0.109039;0.109039;-0.109039;1.22129e-05;-0.109039;1.22129e-05;0.000634891;-0.000931864;0;0.1;0.118896;0;
1.08956;-1.08956;0.000167521;0.108956;0.108956;-0.108956;1.67521e-05;-0.108956;1.67521e-05;0.000639259;-0.000927856;0;0.1;0.118714;0;
1.08873;-1.08873;0.000212913;0.108873;0.108873;-0.108873;2.12913e-05;-0.108873;2.12913e-05;0.000643624;-0.000923848;0;0.1;0.118533;0;
1.0871;-1.0871;0.000131989;0.10871;0.10871;-0.10871;1.31989e-05;-0.10871;1.31989e-05;0.000647984;-0.00091984;0;0.1;0.118179;0;
1.08664;-1.08664;-0.000750742;0.108664;0.108664;-0.108664;-7.50742e-05;-0.108664;-7.50742e-05;0.000652339;-0.000915832;0;0.1;0.118078;0;
1.08544;-1.08544;-0.000685555;0.108544;0.108544;-0.108544;-6.85555e-05;-0.108544;-6.85555e-05;0.000656692;-0.000911824;0;0.1;0.117818;0;
1.08424;-1.08424;-0.000620367;0.108424;0.108424;-0.108424;-6.20367e-05;-0.108424;-6.20367e-05;0.00066104;-0.000907816;0;0.1;0.117559;0;
1.08305;-1.08305;-0.00055518;0.108305;0.108305;-0.108305;-5.5518e-05;-0.108305;-5.5518e-05;0.000665384;-0.000903808;0;0.1;0.117299;0;
1.08185;-1.08185;-0.000489993;0.108185;0.108185;-0.108185;-4.89993e-05;-0.108185;-4.89993e-05;0.000669722;-0.0008998;0;0.1;0.11704;0;
1.08065;-1.08065;-0.000424805;0.108065;0.108065;-0.108065;-4.24805e-05;-0.108065;-4.24805e-05;0.000674056;-0.000895792;0;0.1;0.116781;0;
