Er;Erx;Ery;Jr;Jrc;Jrcx;Jrcy;Jrx;Jry;V;X;Y;gamma;pj;t;
4.67102;4.67102;-0.00298329;0.467102;0.467102;0.467102;-0.000298329;0.467102;-0.000298329;0.00351094;-0.001;0;0.1;2.18184;0;
4.56263;4.56263;0.00750111;0.456263;0.456263;0.456263;0.000750111;0.456263;0.000750111;0.00349244;-0.000995992;0;0.1;2.08176;0;
4.503;4.50299;0.0100943;0.4503;0.4503;0.450299;0.00100943;0.450299;0.00100943;0.00347425;-0.000991984;0;0.1;2.0277;0;
4.42569;4.42564;0.0192742;0.442569;0.442569;0.442564;0.00192742;0.442564;0.00192742;0.00345635;-0.000987976;0;0.1;1.95867;0;
4.30638;4.30619;-0.0397397;0.430638;0.430638;0.430619;-0.00397397;0.430619;-0.00397397;0.00343885;-0.000983968;0;0.1;1.85449;0;
4.23275;4.23259;-0.0359919;0.423275;0.423275;0.423259;-0.00359919;0.423259;-0.00359919;0.00342174;-0.00097996;0;0.1;1.79161;0;
4.15912;4.15899;-0.0322441;0.415912;0.415912;0.415899;-0.00322441;0.415899;-0.00322441;0.00340492;-0.000975952;0;0.1;1.72983;0;
4.08549;4.0854;-0.0284963;0.408549;0.408549;0.40854;-0.00284963;0.40854;-0.00284963;0.0033884;-0.000971944;0;0.1;1.66913;0;
4.01187;4.0118;-0.0247485;0.401187;0.401187;0.40118;-0.00247485;0.40118;-0.00247485;0.00337217;-0.000967936;0;0.1;1.60951;0;
3.93825;3.9382;-0.0210008;0.393825;0.393825;0.39382;-0.00210008;0.39382;-0.00210008;0.00335624;-0.000963928;0;0.1;1.55098;0;
3.86464;3.8646;-0.017253;0.386464;0.386464;0.38646;-0.0017253;0.38646;-0.0017253;0.0033406;-0.00095992;0;0.1;1.49354;0;
3.79102;3.791;-0.0135052;0.379102;0.379102;0.3791;-0.00135052;0.3791;-0.00135052;0.00332526;-0.000955912;0;0.1;1.43719;0;
3.71741;3.7174;-0.0097574;0.371741;0.371741;0.37174;-0.00097574;0.37174;-0.00097574;0.00331022;-0.000951904;0;0.1;1.38192;0;
3.64381;3.6438;-0.00600962;0.364381;0.364381;0.36438;-0.000600962;0.36438;-0.000600962;0.00329546;-0.000947896;0;0.1;1.32773;0;
3.5702;3.5702;-0.00226183;0.35702;0.35702;0.35702;-0.000226183;0.35702;-0.000226183;0.00328101;-0.000943888;0;0.1;1.27464;0;
3.49661;3.49661;0.00148595;0.349661;0.349661;0.349661;0.000148595;0.349661;0.000148595;0.00326684;-0.00093988;0;0.1;1.22263;0;
3.42301;3.42301;0.00523373;0.342301;0.342301;0.342301;0.000523373;0.342301;0.000523373;0.00325298;-0.000935872;0;0.1;1.1717;0;
3.34942;3.34941;0.00898152;0.334942;0.334942;0.334941;0.000898152;0.334941;0.000898152;0.00323941;-0.000931864;0;0.1;1.12186;0;
3.27583;3.27581;0.0127293;0.327583;0.327583;0.327581;0.00127293;0.327581;0.00127293;0.00322613;-0.000927856;0;0.1;1.07311;0;
3.20225;3.20221;0.0164771;0.320225;0.320225;0.320221;0.00164771;0.320221;0.00164771;0.00321315;-0.000923848;0;0.1;1.02544;0;
3.18508;3.18507;0.00975759;0.318508;0.318508;0.318507;0.000975759;0.318507;0.000975759;0.0032003;-0.00091984;0;0.1;1.01447;0;
3.10102;3.10086;-0.0314969;0.310102;0.310102;0.310086;-0.00314969;0.310086;-0.00314969;0.00318766;-0.000915832;0;0.1;0.961632;0;
3.05041;3.05028;-0.0288393;0.305041;0.305041;0.305028;-0.00288393;0.305028;-0.00288393;0.00317533;-0.000911824;0;0.1;0.930501;0;
2.9998;2.99969;-0.0261818;0.29998;0.29998;0.299969;-0.00261818;0.299969;-0.00261818;0.0031632;-0.000907816;0;0.1;0.899883;0;
2.9492;2.94911;-0.0235243;0.29492;0.29492;0.294911;-0.00235243;0.294911;-0.00235243;0.00315128;-0.000903808;0;0.1;0.869778;0;
2.8986;2.89852;-0.0208667;0.28986;0.28986;0.289852;-0.00208667;0.289852;-0.00208667;0.00313956;-0.0008998;0;0.1;0.840187;0;
2.848;2.84794;-0.0182092;0.2848;0.2848;0.284794;-0.00182092;0.284794;-0.00182092;0.00312805;-0.000895792;0;0.1;0.811108;0;
2.7974;2.79735;-0.0155517;0.27974;0.27974;0.279735;-0.00155517;0.279735;-0.00155517;0.00311674;-0.000891784;0;0.1;0.782543;0;
2.7468;2.74677;-0.0128941;0.27468;0.27468;0.274677;-0.00128941;0.274677;-0.00128941;0.00310562;-0.000887776;0;0.1;0.754491;0;
2.6962;2.69618;-0.0102366;0.26962;0.26962;0.269618;-0.00102366;0.269618;-0.00102366;0.00309472;-0.000883768;0;0.1;0.726952;0;
2.64561;2.6456;-0.00757906;0.264561;0.264561;0.26456;-0.000757906;0.26456;-0.000757906;0.00308401;-0.00087976;0;0.1;0.699926;0;
2.59502;2.59502;-0.00492152;0.259502;0.259502;0.259502;-0.000492152;0.259502;-0.000492152;0.00307351;-0.000875752;0;0.1;0.673413;0;
2.54443;2.54443;-0.00226399;0.254443;0.254443;0.254443;-0.000226399;0.254443;-0.000226399;0.00306321;-0.000871743;0;0.1;0.647414;0;
2.49385;2.49385;0.00039355;0.249385;0.249385;0.249385;3.9355e-05;0.249385;3.9355e-05;0.00305311;-0.000867735;0;0.1;0.621928;0;
2.44327;2.44326;0.00305109;0.244327;0.244327;0.244326;0.000305109;0.244326;0.000305109;0.00304322;-0.000863727;0;0.1;0.596954;0;
2.39269;2.39268;0.00570862;0.239269;0.239269;0.239268;0.000570862;0.239268;0.000570862;0.00303353;-0.000859719;0;0.1;0.572494;0;
2.34211;2.34209;0.00836616;0.234211;0.234211;0.234209;0.000836616;0.234209;0.000836616;0.00302404;-0.000855711;0;0.1;0.548548;0;
2.29154;2.29151;0.0110237;0.229154;0.229154;0.229151;0.00110237;0.229151;0.00110237;0.00301475;-0.000851703;0;0.1;0.525114;0;
2.27721;2.2772;0.00648244;0.227721;0.227721;0.22772;0.000648244;0.22772;0.000648244;0.00300558;-0.000847695;0;0.1;0.518569;0;
2.21877;2.21864;-0.0238572;0.221877;0.221877;0.221864;-0.00238572;0.221864;-0.00238572;0.00299659;-0.000843687;0;0.1;0.492293;0;
2.18267;2.18256;-0.0218733;0.218267;0.218267;0.218256;-0.00218733;0.218256;-0.00218733;0.00298777;-0.000839679;0;0.1;0.476405;0;
2.14657;2.14648;-0.0198894;0.214657;0.214657;0.214648;-0.00198894;0.214648;-0.00198894;0.00297909;-0.000835671;0;0.1;0.460778;0;
2.11048;2.1104;-0.0179055;0.211048;0.211048;0.21104;-0.00179055;0.21104;-0.00179055;0.00297056;-0.000831663;0;0.1;0.445412;0;
2.07438;2.07432;-0.0159216;0.207438;0.207438;0.207432;-0.00159216;0.207432;-0.00159216;0.00296217;-0.000827655;0;0.1;0.430307;0;
2.03829;2.03824;-0.0139377;0.203829;0.203829;0.203824;-0.00139377;0.203824;-0.00139377;0.00295393;-0.000823647;0;0.1;0.415463;0;
2.0022;2.00216;-0.0119538;0.20022;0.20022;0.200216;-0.00119538;0.200216;-0.00119538;0.00294584;-0.000819639;0;0.1;0.400881;0;
1.96611;1.96609;-0.00996987;0.196611;0.196611;0.196609;-0.000996987;0.196609;-0.000996987;0.00293788;-0.000815631;0;0.1;0.386559;0;
1.93002;1.93001;-0.00798597;0.193002;0.193002;0.193001;-0.000798597;0.193001;-0.000798597;0.00293008;-0.000811623;0;0.1;0.372499;0;
1.89394;1.89393;-0.00600206;0.189394;0.189394;0.189393;-0.000600206;0.189393;-0.000600206;0.00292241;-0.000807615;0;0.1;0.358699;0;
1.85785;1.85785;-0.00401816;0.185785;0.185785;0.185785;-0.000401816;0.185785;-0.000401816;0.00291489;-0.000803607;0;0.1;0.345161;0;
1.82177;1.82177;-0.00203425;0.182177;0.182177;0.182177;-0.000203425;0.182177;-0.000203425;0.00290752;-0.000799599;0;0.1;0.331884;0;
1.78569;1.78569;-5.03472e-05;0.178569;0.178569;0.178569;-5.03472e-06;0.178569;-5.03472e-06;0.00290029;-0.000795591;0;0.1;0.318869;0;
1.74961;1.74961;0.00193356;0.174961;0.174961;0.174961;0.000193356;0.174961;0.000193356;0.00289321;-0.000791583;0;0.1;0.306114;0;
1.71354;1.71353;0.00391746;0.171354;0.171354;0.171353;0.000391746;0.171353;0.000391746;0.00288627;-0.000787575;0;0.1;0.29362;0;
1.67746;1.67745;0.00590137;0.167746;0.167746;0.167745;0.000590137;0.167745;0.000590137;0.00287947;-0.000783567;0;0.1;0.281388;0;
1.64139;1.64137;0.00788527;0.164139;0.164139;0.164137;0.000788527;0.164137;0.000788527;0.00287282;-0.000779559;0;0.1;0.269416;0;
1.61402;1.61388;-0.020835;0.161402;0.161402;0.161388;-0.0020835;0.161388;-0.0020835;0.00286628;-0.000775551;0;0.1;0.260506;0;
1.58773;1.58761;-0.0192185;0.158773;0.158773;0.158761;-0.00192185;0.158761;-0.00192185;0.00285986;-0.000771543;0;0.1;0.252089;0;
1.56144;1.56134;-0.017602;0.156144;0.156144;0.156134;-0.0017602;0.156134;-0.0017602;0.00285355;-0.000767535;0;0.1;0.24381;0;
1.53516;1.53507;-0.0159855;0.153516;0.153516;0.153507;-0.00159855;0.153507;-0.00159855;0.00284734;-0.000763527;0;0.1;0.23567;0;
1.50887;1.5088;-0.014369;0.150887;0.150887;0.15088;-0.0014369;0.15088;-0.0014369;0.00284124;-0.000759519;0;0.1;0.227669;0;
1.48259;1.48253;-0.0127525;0.148259;0.148259;0.148253;-0.00127525;0.148253;-0.00127525;0.00283525;-0.000755511;0;0.1;0.219806;0;
1.4563;1.45626;-0.0111359;0.14563;0.14563;0.145626;-0.00111359;0.145626;-0.00111359;0.00282936;-0.000751503;0;0.1;0.212082;0;
1.43002;1.42999;-0.00951944;0.143002;0.143002;0.142999;-0.000951944;0.142999;-0.000951944;0.00282358;-0.000747495;0;0.1;0.204496;0;
1.40374;1.40372;-0.00790293;0.140374;0.140374;0.140372;-0.000790293;0.140372;-0.000790293;0.0028179;-0.000743487;0;0.1;0.197049;0;
1.37735;1.37732;-0.00915462;0.137735;0.137735;0.137732;-0.000915462;0.137732;-0.000915462;0.00281232;-0.000739479;0;0.1;0.18971;0;
1.35095;1.3509;-0.010971;0.135095;0.135095;0.13509;-0.0010971;0.13509;-0.0010971;0.00280686;-0.000735471;0;0.1;0.182506;0;
1.32455;1.32448;-0.0127874;0.132455;0.132455;0.132448;-0.00127874;0.132448;-0.00127874;0.0028015;-0.000731463;0;0.1;0.175442;0;
1.29815;1.29806;-0.0146039;0.129815;0.129815;0.129806;-0.00146039;0.129806;-0.00146039;0.00279624;-0.000727455;0;0.1;0.168518;0;
1.27175;1.27165;-0.0164203;0.127175;0.127175;0.127165;-0.00164203;0.127165;-0.00164203;0.00279109;-0.000723447;0;0.1;0.161735;0;
1.24536;1.24523;-0.0182367;0.124536;0.124536;0.124523;-0.00182367;0.124523;-0.00182367;0.00278605;-0.000719439;0;0.1;0.155092;0;
1.21897;1.21881;-0.0200531;0.121897;0.121897;0.121881;-0.00200531;0.121881;-0.00200531;0.00278111;-0.000715431;0;0.1;0.148589;0;
1.19259;1.19239;-0.0218695;0.119259;0.119259;0.119239;-0.00218695;0.119239;-0.00218695;0.00277628;-0.000711423;0;0.1;0.142227;0;
1.16621;1.16597;-0.0236859;0.116621;0.116621;0.116597;-0.00236859;0.116597;-0.00236859;0.00277155;-0.000707415;0;0.1;0.136005;0;
1.15586;1.15586;0.00382867;0.115586;0.115586;0.115586;0.000382867;0.115586;0.000382867;0.00276687;-0.000703407;0;0.1;0.133602;0;
1.13421;1.13421;0.00357172;0.113421;0.113421;0.113421;0.000357172;0.113421;0.000357172;0.00276228;-0.000699399;0;0.1;0.128644;0;
1.11256;1.11256;0.00331477;0.111256;0.111256;0.111256;0.000331477;0.111256;0.000331477;0.00275778;-0.000695391;0;0.1;0.123779;0;
1.09091;1.09091;0.00305782;0.109091;0.109091;0.109091;0.000305782;0.109091;0.000305782;0.00275336;-0.000691383;0;0.1;0.119009;0;
1.06926;1.06926;0.00280086;0.106926;0.106926;0.106926;0.000280086;0.106926;0.000280086;0.00274903;-0.000687375;0;0.1;0.114332;0;
1.04761;1.04761;0.00254391;0.104761;0.104761;0.104761;0.000254391;0.104761;0.000254391;0.00274479;-0.000683367;0;0.1;0.109749;0;
1.02596;1.02596;0.00228696;0.102596;0.102596;0.102596;0.000228696;0.102596;0.000228696;0.00274063;-0.000679359;0;0.1;0.105259;0;
