Er;Erx;Ery;Jr;Jrc;Jrcx;Jrcy;Jrx;Jry;V;X;Y;gamma;pj;t;
794.073;794.073;-0.507159;79.4073;79.4073;79.4073;-0.0507159;79.4073;-0.0507159;0.59686;-0.001;0;0.1;63055.2;0;
775.647;775.646;1.27519;77.5647;77.5647;77.5646;0.127519;77.5646;0.127519;0.593715;-0.000995992;0;0.1;60162.9;0;
765.51;765.508;1.71603;76.551;76.551;76.5508;0.171603;76.5508;0.171603;0.590622;-0.000991984;0;0.1;58600.5;0;
752.367;752.359;3.27661;75.2367;75.2367;75.2359;0.327661;75.2359;0.327661;0.58758;-0.000987976;0;0.1;56605.5;0;
732.084;732.053;-6.75574;73.2084;73.2084;73.2053;-0.675574;73.2053;-0.675574;0.584605;-0.000983968;0;0.1;53594.7;0;
719.567;719.541;-6.11862;71.9567;71.9567;71.9541;-0.611862;71.9541;-0.611862;0.581696;-0.00097996;0;0.1;51777.6;0;
707.05;707.029;-5.4815;70.705;70.705;70.7029;-0.54815;70.7029;-0.54815;0.578837;-0.000975952;0;0.1;49992;0;
694.534;694.517;-4.84437;69.4534;69.4534;69.4517;-0.484437;69.4517;-0.484437;0.576028;-0.000971944;0;0.1;48237.8;0;
682.018;682.005;-4.20725;68.2018;68.2018;68.2005;-0.420725;68.2005;-0.420725;0.573269;-0.000967936;0;0.1;46514.9;0;
669.503;669.494;-3.57013;66.9503;66.9503;66.9494;-0.357013;66.9494;-0.357013;0.570561;-0.000963928;0;0.1;44823.4;0;
656.988;656.982;-2.933;65.6988;65.6988;65.6982;-0.2933;65.6982;-0.2933;0.567903;-0.00095992;0;0.1;43163.4;0;
644.474;644.47;-2.29588;64.4474;64.4474;64.447;-0.229588;64.447;-0.229588;0.565295;-0.000955912;0;0.1;41534.7;0;
631.96;631.958;-1.65876;63.196;63.196;63.1958;-0.165876;63.1958;-0.165876;0.562737;-0.000951904;0;0.1;39937.4;0;
619.447;619.447;-1.02163;61.9447;61.9447;61.9447;-0.102163;61.9447;-0.102163;0.560229;-0.000947896;0;0.1;38371.5;0;
